loc_x,loc_y,mag_x,mag_y,mag_z
41.9,16.9,-47.41097574,-0.812810845,-6.212055221
,,,,
41.9,15.7,-26.96457481,0.126930653,-53.49955111
,,,,
41.9,14.5,-15.15785263,-2.050769744,-74.90652857
,,,,
41.9,13.3,-42.91614074,15.85955481,-32.40078148
,,,,
41.9,12.1,-22.66312388,-9.520048731,-54.50268731
,,,,
41.9,10.9,-32.81897985,-46.14270821,-25.02681567
,,,,
41.9,9.7,-20.31163435,-0.407782298,-57.2231626
,,,,
42.8,9.7,-42.27313259,2.659708881,-31.21450074
,,,,
42.8,10.9,-31.80046947,-4.797258397,-36.13876412
,,,,
42.8,12.1,-14.12045076,11.31995121,-34.91401061
,,,,
42.8,13.3,-36.20637353,8.877395074,-46.53989044
,,,,
42.8,14.5,-19.66083235,-13.09191103,-39.19855441
,,,,
42.8,15.7,0.201051725,89.86358433,-17.07481493
,,,,
42.8,16.9,-48.69806866,8.591495149,-50.37310075
,,,,
42.8,18.1,-19.47281791,-9.09756291,-35.722
,,,,
42.8,19.3,-16.43713561,-5.457467652,-43.76532955
,,,,
42.8,20.5,-27.83463669,4.118390863,-54.69774892
,,,,
42.8,21.7,-34.57552148,21.29787704,-25.82472
,,,,
42.8,22.9,-42.79438358,16.07477537,-51.38645373
,,,,
42.8,24.1,-19.71041533,-0.926052752,-61.0415927
,,,,
42.8,25.3,-33.15536544,-5.871009779,-57.10129412
,,,,
42.8,26.5,-31.79030429,-3.526927714,-51.042095
,,,,
42.8,27.7,-43.17809695,20.3185,-16.44993053
,,,,
42.8,28.9,-18.86895852,-4.637258815,-42.41314148
,,,,
42.8,30.1,-26.96555455,-5.210425227,-44.86183182
,,,,
42.8,31.3,-25.74809852,-9.907913926,-49.53476667
,,,,
42.8,32.5,-35.5880903,15.92324179,-44.05691791
,,,,
42.8,33.7,-17.42277111,25.91390741,-55.29284741
,,,,
42.8,34.9,-21.7184237,-15.12336963,-54.83984148
,,,,
42.8,36.1,-34.60509338,22.26508603,-34.39700662
,,,,
42.8,37.3,-40.89694851,-3.821552537,-24.23793582
,,,,
42.8,38.5,-39.26273669,-9.393298921,-33.72932878
,,,,
42.8,39.7,-18.44494234,-10.11364635,-28.27578613
,,,,
42.8,40.9,-30.16755333,-15.6537763,-49.10866889
,,,,
42.8,42.1,-38.26479635,6.517062336,-37.5154
,,,,
42.8,43.3,-20.98393134,-11.3539103,-32.04066791
,,,,
42.8,44.5,-26.14952985,14.73339851,-16.12061493
,,,,
42.8,45.7,-26.12360073,-8.445794891,-23.83754161
,,,,
43.7,45.7,-44.92348872,14.82984887,-45.69239925
,,,,
43.7,44.5,-40.21107279,4.508006985,-49.19545882
,,,,
43.7,43.3,-30.44923657,-17.26455448,-44.64529179
,,,,
43.7,42.1,-37.03604478,-16.70579552,-38.67886493
,,,,
43.7,40.9,-23.29937143,17.11918797,-10.08703511
,,,,
43.7,39.7,-21.58188507,7.84281209,-1.456497043
,,,,
43.7,38.5,-24.29766296,-3.731938444,-55.27922593
,,,,
43.7,37.3,-30.83656316,11.96052556,-48.77060226
,,,,
43.7,36.1,-27.96497895,-18.5621782,-55.14355414
,,,,
43.7,34.9,-28.39541691,4.082858971,-50.67770147
,,,,
43.7,33.7,-10.70791582,-13.71720672,-55.49520149
,,,,
43.7,32.5,-33.14704643,-7.904314357,-46.59835143
,,,,
43.7,31.3,-32.51449854,15.23390657,-38.03598394
,,,,
43.7,30.1,-22.52645821,19.38962537,-34.93260373
,,,,
43.7,28.9,-20.40689185,7.214784815,-63.2823363
,,,,
43.7,27.7,-27.17637594,17.16781429,-30.47318872
,,,,
43.7,26.5,-17.12436985,18.80382206,-37.23994632
,,,,
